sku,title,type,den,url,image,filename,folder
654381,La Salle Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/la-salle-council-shoulder-patch-654381.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/5/654381_f.jpg,654381 - La-Salle-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
644819,Lake Erie Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/lake-erie-council-shoulder-patch-644819.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/4/644819.jpg,644819 - Lake-Erie-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
664620,Las Vegas Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/las-vegas-council-shoulder-patch-664620.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/6/664620_las_vegas_council_patch.jpg,664620 - Las-Vegas-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16480,Last Frontier Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/last-frontier-council-shoulder-patch-16480.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16480.jpg,16480 - Last-Frontier-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
657433,Life Scout Rank Emblem,rank_patch,unknown,https://www.scoutshop.org/life-scout-rank-emblem-657433.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/5/657433-retouched.png,657433 - Life-Scout-Rank-Emblem.jpg,scout_awards_media\rank_patches\unknown
621493,Lincoln Heritage Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/lincoln-heritage-council-shoulder-patch-621493.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/2/621493.jpg,621493 - Lincoln-Heritage-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16032,Long Beach Area Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/long-beach-area-council-shoulder-patch-16032.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16032.jpg,16032 - Long-Beach-Area-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
663098,Longhorn Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/longhorn-council-shoulder-patch-663098.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/6/663098_csp_longhorn_cncl_emblem.jpg,663098 - Longhorn-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
612037,Longhouse Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/longhouse-council-shoulder-patch-612037.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/1/612037.jpg,612037 - Longhouse-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16053,Los Padres Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/los-padres-council-shoulder-patch-16053.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16053.jpg,16053 - Los-Padres-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16643,Manhattan Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/manhattan-council-shoulder-patch-16643.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16643.jpg,16643 - Manhattan-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16035,Marin Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/marin-council-shoulder-patch-16035.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16035.jpg,16035 - Marin-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
663884,Martin Luther King Day of Service Emblem,loop,unknown,https://www.scoutshop.org/martin-luther-king-day-of-service-emblem-663884.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/6/663884_mlk_day_service_emblem.jpg,663884 - Martin-Luther-King-Day-of-Service-Emblem.jpg,scout_awards_media\loops\unknown
16102,Maui County Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/maui-county-council-shoulder-patch-16102.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16102.jpg,16102 - Maui-County-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
